Title	Pseudo-title	Sub-title	Identifier	Date	Flight Line	Photo #	Scale	Latitude	Longitude	Thumbnail Link	Archive Link	Location in Drive	Corporate Name/Author	Personal Name/Author	Publisher	Publication Location	Set Date	Physical Description	General Note	Subject (Geographic)	Subject (Geographic)	Subject (Geographic)	Continent	Country	Province/State	Region	County	City	City Section	Area	Index	Condition Notes	Flightline String	Digital Archive Identifier	Digital Archive URL (new)
title	pseudotitle	subtitle		date_in	flightline	photo_number	scale	latitude	longitude	thumbnail_link	archive_link		corporate_name	personal_name	publisher_name	publisher_location	set_date	physical_description	general_note	subj_geographic	subj_geographic	subj_geographic	continent	country	province	region	county	city	city_section	area	index	condition_notes		identifier	
Write as it appears on the map, leave blank if not present	Description of set, only if no actual title on images	Include only if appears on material. Do not capitalize first letter		YYYY-MM-DD, include special characters as well			preserve square brackets, write out approximately. ex. [1:13 000 approximately]						Library of Congress	Library of Congress			Include year/year range here (ex. 1920-1921)	1 remote sensing image ; dimensions ex. 1 remote-sensing image; 23 x 23 cm.	coverage, additional notes	Library of Congress	Library of Congress	Library of Congress													
	City of Hamilton		Hamilton	[1919]		AO1326 [S5818]	[Oblique]	43.258065	-79.874103	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1919_AO1326_S5818.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71643	H:\Digitization_Projects\Air_Photos\AirPhotos_1919_Hamilton			[Publisher unknown]	[Place of publication unknown]	1919	1 remote-sensing image ; 21 x 26 cm.	Shows Hamilton industrial area, west of Ottawa Street and south of Burlington Street, including Oliver Plow Works and Hamilton Steel Co. Source: Archives of Ontario, McCarthey Air Photos Collection, Accession No. ACC 2455 C 285-1-0-4.70, probably 1919.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			photocopied city map indicates direction of view			AirPhotos_Hamilton_1919_AO1326_S5818	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71643
	City of Hamilton		Hamilton	[1919]		AO1327 [S5819]	[Oblique]	43.259081	-79.872751	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1919_AO1327_S5819.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71642	H:\Digitization_Projects\Air_Photos\AirPhotos_1919_Hamilton			[Publisher unknown]	[Place of publication unknown]	1919	1 remote-sensing image ; 21 x 26 cm.	Shows Hamilton industrial area, west of Ottawa Street and south of Burlington Street, including Oliver Plow Works and Hamilton Steel Co. Source: Archives of Ontario, McCarthey Air Photos Collection, Accession No. ACC 2455 C 285-1-0-4.70, probably 1919.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			photocopied city map indicates direction of view			AirPhotos_Hamilton_1919_AO1327_S5819	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71642
	City of Hamilton		Hamilton	[1919]		AO1328 [S5831]	[Oblique]	43.258956	-79.81739	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1919_AO1328_S5831.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71641	H:\Digitization_Projects\Air_Photos\AirPhotos_1919_Hamilton			[Publisher unknown]	[Place of publication unknown]	1919	1 remote-sensing image ; 21 x 26 cm.	Shows Hamilton industrial area, west of Ottawa Street and south of Burlington Street, including Oliver Plow Works and Hamilton Steel Co. Source: Archives of Ontario, McCarthey Air Photos Collection, Accession No. ACC 2455 C 285-1-0-4.70, probably 1919.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			photocopied city map indicates direction of view			AirPhotos_Hamilton_1919_AO1328_S5831	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71641
	City of Hamilton		Hamilton	[1919]		AO1329 [S5833]	[Oblique]	43.255924	-79.823356	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1919_AO1329_S5833.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71640	H:\Digitization_Projects\Air_Photos\AirPhotos_1919_Hamilton			[Publisher unknown]	[Place of publication unknown]	1919	1 remote-sensing image ; 21 x 26 cm.	Shows Hamilton industrial area, west of Ottawa Street and south of Burlington Street, including Oliver Plow Works and Hamilton Steel Co. Source: Archives of Ontario, McCarthey Air Photos Collection, Accession No. ACC 2455 C 285-1-0-4.70, probably 1919.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			photocopied city map indicates direction of view			AirPhotos_Hamilton_1919_AO1329_S5833	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71640
	City of Hamilton		Hamilton	[1919]		S5821	[Oblique]	43.240638	-79.846637	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1919_S5821.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71639	H:\Digitization_Projects\Air_Photos\AirPhotos_1919_Hamilton			[Publisher unknown]	[Place of publication unknown]	1919	1 remote-sensing image ; 21 x 26 cm.	Shows Hamilton industrial area, west of Ottawa Street and south of Burlington Street, including Oliver Plow Works and Hamilton Steel Co. Source: Archives of Ontario, McCarthey Air Photos Collection, Accession No. ACC 2455 C 285-1-0-4.70, probably 1919.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			photocopied city map indicates direction of view			AirPhotos_Hamilton_1919_S5821	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71639
	City of Hamilton		Hamilton	[1919]		S5822	[Oblique]	43.248766	-79.813313	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1919_S5822.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71638	H:\Digitization_Projects\Air_Photos\AirPhotos_1919_Hamilton			[Publisher unknown]	[Place of publication unknown]	1919	1 remote-sensing image ; 21 x 26 cm.	Shows Hamilton industrial area, west of Ottawa Street and south of Burlington Street, including Oliver Plow Works and Hamilton Steel Co. Source: Archives of Ontario, McCarthey Air Photos Collection, Accession No. ACC 2455 C 285-1-0-4.70, probably 1919.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			photocopied city map indicates direction of view			AirPhotos_Hamilton_1919_S5822	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71638
	City of Hamilton		Hamilton	[1919]		S5827	[Oblique]	43.267581	-79.861507	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1919_S5827.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71646	H:\Digitization_Projects\Air_Photos\AirPhotos_1919_Hamilton			[Publisher unknown]	[Place of publication unknown]	1919	1 remote-sensing image ; 21 x 26 cm.	Shows Hamilton industrial area, west of Ottawa Street and south of Burlington Street, including Oliver Plow Works and Hamilton Steel Co. Source: Archives of Ontario, McCarthey Air Photos Collection, Accession No. ACC 2455 C 285-1-0-4.70, probably 1919.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			photocopied city map indicates direction of view			AirPhotos_Hamilton_1919_S5827	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71646
	City of Hamilton		Hamilton	[1919]		S5828	[Oblique]	43.262019	-79.886355	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1919_S5828.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71645	H:\Digitization_Projects\Air_Photos\AirPhotos_1919_Hamilton			[Publisher unknown]	[Place of publication unknown]	1919	1 remote-sensing image ; 21 x 26 cm.	Shows Hamilton industrial area, west of Ottawa Street and south of Burlington Street, including Oliver Plow Works and Hamilton Steel Co. Source: Archives of Ontario, McCarthey Air Photos Collection, Accession No. ACC 2455 C 285-1-0-4.70, probably 1919.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			photocopied city map indicates direction of view			AirPhotos_Hamilton_1919_S5828	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71645
