Identifier	Title	Subtitle	Corporate Name/Author	Personal Name/Author	Type of resource	Genre	Date	Publisher	Place of publication	Date Other	Language	Form	Extent/Scale	Physical description note	Note	Subject(geographic)	Subject(geographic)	Subject(geographic)	Continent	Country	Province/state	Region	County	City	City section	Area	Coordinates
identifier	title	subtitle	corporateauthor	personalauthor	typeofresource	genreloc	dateCreated	publisher	publicationplace	dateOther	language	physicalform	physicalextent	physicalnote	note	subjectgeographic	subjectgeographic	subjectgeographic	continent	country	province	region	county	city	citySection	area	coordinates
AirPhotos_Beamsville_1966_A19664-2	[Town of Beamsville, 1966] : [Flightline A19664-Photo 2]		National Air Photo Library (Canada)		cartographic	Aerial photographs	1966	Air Photo Division, Energy Mines & Resources	[Place of publication unknown]	1966	eng	remote-sensing image	[1:37,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows Beamsville and directly south for about 8 kms. Source: National Air Photo Library [Niagara Escarpment], 1966.	Lincoln (Ont.)			North America	Canada	Ontario	Niagara				Beamsville, Lincoln	latitude 43.180177 ; longitude -79.486985
AirPhotos_Beamsville_1966_A19664-3	[Town of Beamsville, 1966] : [Flightline A19664-Photo 3]		National Air Photo Library (Canada)		cartographic	Aerial photographs	1966	Air Photo Division, Energy Mines & Resources	[Place of publication unknown]	1966	eng	remote-sensing image	[1:37,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows Beamsville and directly south for about 8 kms. Source: National Air Photo Library [Niagara Escarpment], 1966.	Lincoln (Ont.)			North America	Canada	Ontario	Niagara				Beamsville, Lincoln	latitude 43.144272 ; longitude -79.485483
AirPhotos_Beamsville_1966_A19664-4	[Town of Beamsville, 1966] : [Flightline A19664-Photo 4]		National Air Photo Library (Canada)		cartographic	Aerial photographs	1966	Air Photo Division, Energy Mines & Resources	[Place of publication unknown]	1966	eng	remote-sensing image	[1:37,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows Beamsville and directly south for about 8 kms. Source: National Air Photo Library [Niagara Escarpment], 1966.	Lincoln (Ont.)			North America	Canada	Ontario	Niagara				Beamsville, Lincoln	latitude 43.112325 ; longitude -79.483509
AirPhotos_Caledonia_1965_A19341-84	[Town of Caledonia, 1965] : [Flightline A19341-Photo 84]		National Air Photo Library (Canada)		cartographic	Aerial photographs	1965	[Publisher unknown]	[Place of publication unknown]	1965	eng	remote-sensing image	[1:17,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows Town of Caledonia. Source: National Air Photo Library [Caledonia].				North America	Canada	Ontario		Haldimand			Caledonia	latitude 43.073904 ; longitude -79.971714
AirPhotos_Caledonia_1965_A19341-85	[Town of Caledonia, 1965] : [Flightline A19341-Photo 85]		National Air Photo Library (Canada)		cartographic	Aerial photographs	1965	[Publisher unknown]	[Place of publication unknown]	1965	eng	remote-sensing image	[1:17,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows Town of Caledonia. Source: National Air Photo Library [Caledonia].				North America	Canada	Ontario		Haldimand			Caledonia	latitude 43.074405 ; longitude -79.953775
AirPhotos_Caledonia_1965_A19341-86	[Town of Caledonia, 1965] : [Flightline A19341-Photo 86]		National Air Photo Library (Canada)		cartographic	Aerial photographs	1965	[Publisher unknown]	[Place of publication unknown]	1965	eng	remote-sensing image	[1:17,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows Town of Caledonia. Source: National Air Photo Library [Caledonia].				North America	Canada	Ontario		Haldimand			Caledonia	latitude 43.074907 ; longitude -79.935751
AirPhotos_Caledonia_1965_A19341-87	[Town of Caledonia, 1965] : [Flightline A19341-Photo 87]		National Air Photo Library (Canada)		cartographic	Aerial photographs	1965	[Publisher unknown]	[Place of publication unknown]	1965	eng	remote-sensing image	[1:17,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows Town of Caledonia. Source: National Air Photo Library [Caledonia].				North America	Canada	Ontario		Haldimand			Caledonia	latitude 43.075471 ; longitude -79.917212
AirPhotos_Dundas_1963-64	[Part of West Hamilton to West Flamborough, 1963] : [Photo 64]		National Air Photo Library (Canada)		cartographic	Aerial photographs	1963	[Publisher unknown]	[Place of publication unknown]	1963	eng	remote-sensing image	[1:3,000]	1 remote-sensing image ; 23 x 23 cm. 	Stereoscopic coverage. Shows Dundas, including part of West Hamilton and West Flamborough.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton	Dundas, Flamborough, Bullock's Corners		latitude 43.262831 ; longitude -80.001497
AirPhotos_Dundas_1963-65	[Part of West Hamilton to West Flamborough, 1963] : [Photo 65]		National Air Photo Library (Canada)		cartographic	Aerial photographs	1963	[Publisher unknown]	[Place of publication unknown]	1963	eng	remote-sensing image	[1:3,000]	1 remote-sensing image ; 23 x 23 cm. 	Stereoscopic coverage. Shows Dundas, including part of West Hamilton and West Flamborough.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton	Dundas, Flamborough, Bullock's Corners		latitude 43.264206 ; longitude 43.264206
