Identifier	Title	Subtitle	Corporate Name/Author	Personal Name/Author	Type of resource	Genre	Date	Publisher	Place of publication	Date Other	Language	Form	Extent/Scale	Physical description note	Note	Subject(geographic)	Subject(geographic)	Subject(geographic)	Continent	Country	Province/state	Region	County	City	City section	Area	Coordinates
identifier	title	subtitle	corporateauthor	personalauthor	typeofresource	genreloc	dateCreated	publisher	publicationplace	dateOther	language	physicalform	physicalextent	physicalnote	note	subjectgeographic	subjectgeographic	subjectgeographic	continent	country	province	region	county	city	citySection	area	coordinates
AirPhotos_Dundas_1963-64	[Part of West Hamilton to West Flamborough, 1963] : [Photo 64]		National Air Photo Library (Canada)		cartographic	Aerial photographs	1963	[Publisher unknown]	[Place of publication unknown]	1963	eng	remote-sensing image	[1:3,000]	1 remote-sensing image ; 23 x 23 cm. 	Stereoscopic coverage. Shows Dundas, including part of West Hamilton and West Flamborough.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton	Dundas, Flamborough, Bullock's Corners		latitude 43.262831 ; longitude -80.001497
AirPhotos_Dundas_1963-65	[Part of West Hamilton to West Flamborough, 1963] : [Photo 65]		National Air Photo Library (Canada)		cartographic	Aerial photographs	1963	[Publisher unknown]	[Place of publication unknown]	1963	eng	remote-sensing image	[1:3,000]	1 remote-sensing image ; 23 x 23 cm. 	Stereoscopic coverage. Shows Dundas, including part of West Hamilton and West Flamborough.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton	Dundas, Flamborough, Bullock's Corners		latitude 43.264206 ; longitude 43.264206
AirPhotos_Dundas_1963-66	[Part of West Hamilton to West Flamborough, 1963] : [Photo 66]		National Air Photo Library (Canada)		cartographic	Aerial photographs	1963	[Publisher unknown]	[Place of publication unknown]	1963	eng	remote-sensing image	[1:3,000]	1 remote-sensing image ; 23 x 23 cm. 	Stereoscopic coverage. Shows Dundas, including part of West Hamilton and West Flamborough.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton	Dundas, Flamborough, Bullock's Corners		latitude 43.265519 ; longitude -79.99458
AirPhotos_Dundas_1963-67	[Part of West Hamilton to West Flamborough, 1963] : [Photo 67]		National Air Photo Library (Canada)		cartographic	Aerial photographs	1963	[Publisher unknown]	[Place of publication unknown]	1963	eng	remote-sensing image	[1:3,000]	1 remote-sensing image ; 23 x 23 cm. 	Stereoscopic coverage. Shows Dundas, including part of West Hamilton and West Flamborough.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton	Dundas, Flamborough, Bullock's Corners		latitude 43.266644 ; longitude -79.991455
AirPhotos_Dundas_1963-68	[Part of West Hamilton to West Flamborough, 1963] : [Photo 68]		National Air Photo Library (Canada)		cartographic	Aerial photographs	1963	[Publisher unknown]	[Place of publication unknown]	1963	eng	remote-sensing image	[1:3,000]	1 remote-sensing image ; 23 x 23 cm. 	Stereoscopic coverage. Shows Dundas, including part of West Hamilton and West Flamborough.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton	Dundas, Flamborough, Bullock's Corners		latitude 43.268019 ; longitude -79.987764
AirPhotos_Dundas_1963-69	[Part of West Hamilton to West Flamborough, 1963] : [Photo 69]		National Air Photo Library (Canada)		cartographic	Aerial photographs	1963	[Publisher unknown]	[Place of publication unknown]	1963	eng	remote-sensing image	[1:3,000]	1 remote-sensing image ; 23 x 23 cm. 	Stereoscopic coverage. Shows Dundas, including part of West Hamilton and West Flamborough. Has annotation ""Roll 536 Dundas - Bullocks""	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton	Dundas, Flamborough, Bullock's Corners		latitude 43.269237 ; longitude -79.98446
AirPhotos_Dundas_1963-80	[Part of West Hamilton to West Flamborough, 1963] : [Photo 80]		National Air Photo Library (Canada)		cartographic	Aerial photographs	1963	[Publisher unknown]	[Place of publication unknown]	1963	eng	remote-sensing image	[1:3,000]	1 remote-sensing image ; 23 x 23 cm. 	Stereoscopic coverage. Shows Dundas, including part of West Hamilton and West Flamborough.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton	Dundas, Flamborough, Bullock's Corners		latitude 43.265878 ; longitude -79.993494
AirPhotos_Dundas_1963-81	[Part of West Hamilton to West Flamborough, 1963] : [Photo 81]		National Air Photo Library (Canada)		cartographic	Aerial photographs	1963	[Publisher unknown]	[Place of publication unknown]	1963	eng	remote-sensing image	[1:3,000]	1 remote-sensing image ; 23 x 23 cm. 	Stereoscopic coverage. Shows Dundas, including part of West Hamilton and West Flamborough.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton	Dundas, Flamborough, Bullock's Corners		latitude 43.266988 ; longitude -79.990425
AirPhotos_Dundas_1963-82	[Part of West Hamilton to West Flamborough, 1963] : [Photo 82]		National Air Photo Library (Canada)		cartographic	Aerial photographs	1963	[Publisher unknown]	[Place of publication unknown]	1963	eng	remote-sensing image	[1:3,000]	1 remote-sensing image ; 23 x 23 cm. 	Stereoscopic coverage. Shows Dundas, including part of West Hamilton and West Flamborough.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton	Dundas, Flamborough, Bullock's Corners		latitude 43.268144 ; longitude -79.987249
