Identifier	Title	Subtitle	Corporate Name/Author	Personal Name/Author	Type of resource	Genre	Date	Publisher	Place of publication	Date Other	Language	Form	Extent/Scale	Physical description note	Note	Subject(geographic)	Subject(geographic)	Subject(geographic)	Continent	Country	Province/state	Region	County	City	City section	Area	Coordinates
identifier	title	subtitle	corporateauthor	personalauthor	typeofresource	genreloc	dateCreated	publisher	publicationplace	dateOther	language	physicalform	physicalextent	physicalnote	note	subjectgeographic	subjectgeographic	subjectgeographic	continent	country	province	region	county	city	citySection	area	coordinates
AirPhotos_Hamilton_1919-S5828	[City of Hamilton, 1919] : [Photo S5828]				cartographic	Aerial photographs	1919	[Publisher unknown]	[Place of publication unknown]	[1919]	eng	remote-sensing image	[Oblique]	1 remote-sensing image ; 21 x 26 cm.	Shows Hamilton industrial area, west of Ottawa Street and south of Burlington Street, including Oliver Plow Works and Hamilton Steel Co. Source: Archives of Ontario, McCarthey Air Photos Collection, Accession No. ACC 2455 C 285-1-0-4.70, probably 1919.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.262019 ; longitude -79.886355
AirPhotos_Hamilton_1919-AO1327 [S5819]	[City of Hamilton, 1919] : [Photo AO1327 [S5819]]				cartographic	Aerial photographs	1919	[Publisher unknown]	[Place of publication unknown]	[1919]	eng	remote-sensing image	[Oblique]	1 remote-sensing image ; 21 x 26 cm.	Shows Hamilton industrial area, west of Ottawa Street and south of Burlington Street, including Oliver Plow Works and Hamilton Steel Co. Source: Archives of Ontario, McCarthey Air Photos Collection, Accession No. ACC 2455 C 285-1-0-4.70, probably 1919.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.259081 ; longitude -79.872751
AirPhotos_Hamilton_1919-AO1326 [S5818]	[City of Hamilton, 1919] : [Photo AO1326 [S5818]]				cartographic	Aerial photographs	1919	[Publisher unknown]	[Place of publication unknown]	[1919]	eng	remote-sensing image	[Oblique]	1 remote-sensing image ; 21 x 26 cm.	Shows Hamilton industrial area, west of Ottawa Street and south of Burlington Street, including Oliver Plow Works and Hamilton Steel Co. Source: Archives of Ontario, McCarthey Air Photos Collection, Accession No. ACC 2455 C 285-1-0-4.70, probably 1919.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.258065 ; longitude -79.874103
AirPhotos_Hamilton_1919-S5827	[City of Hamilton, 1919] : [Photo S5827]				cartographic	Aerial photographs	1919	[Publisher unknown]	[Place of publication unknown]	[1919]	eng	remote-sensing image	[Oblique]	1 remote-sensing image ; 21 x 26 cm.	Shows Hamilton industrial area, west of Ottawa Street and south of Burlington Street, including Oliver Plow Works and Hamilton Steel Co. Source: Archives of Ontario, McCarthey Air Photos Collection, Accession No. ACC 2455 C 285-1-0-4.70, probably 1919.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.267581 ; longitude -79.861507
AirPhotos_Hamilton_1919-S5836	[City of Hamilton, 1919] : [Photo S5836]				cartographic	Aerial photographs	1919	[Publisher unknown]	[Place of publication unknown]	[1919]	eng	remote-sensing image	[Oblique]	1 remote-sensing image ; 21 x 26 cm.	Shows Hamilton industrial area, west of Ottawa Street and south of Burlington Street, including Oliver Plow Works and Hamilton Steel Co. Source: Archives of Ontario, McCarthey Air Photos Collection, Accession No. ACC 2455 C 285-1-0-4.70, probably 1919.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.268894 ; longitude -79.834599
AirPhotos_Hamilton_1919-S5821	[City of Hamilton, 1919] : [Photo S5821]				cartographic	Aerial photographs	1919	[Publisher unknown]	[Place of publication unknown]	[1919]	eng	remote-sensing image	[Oblique]	1 remote-sensing image ; 21 x 26 cm.	Shows Hamilton industrial area, west of Ottawa Street and south of Burlington Street, including Oliver Plow Works and Hamilton Steel Co. Source: Archives of Ontario, McCarthey Air Photos Collection, Accession No. ACC 2455 C 285-1-0-4.70, probably 1919.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.240638 ; longitude -79.846637
AirPhotos_Hamilton_1919-AO1329 [S5833]	[City of Hamilton, 1919] : [Photo AO1329 [S5833]]				cartographic	Aerial photographs	1919	[Publisher unknown]	[Place of publication unknown]	[1919]	eng	remote-sensing image	[Oblique]	1 remote-sensing image ; 21 x 26 cm.	Shows Hamilton industrial area, west of Ottawa Street and south of Burlington Street, including Oliver Plow Works and Hamilton Steel Co. Source: Archives of Ontario, McCarthey Air Photos Collection, Accession No. ACC 2455 C 285-1-0-4.70, probably 1919.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.255924 ; longitude -79.823356
AirPhotos_Hamilton_1919-AO1328 [S5831]	[City of Hamilton, 1919] : [Photo AO1328 [S5831]]				cartographic	Aerial photographs	1919	[Publisher unknown]	[Place of publication unknown]	[1919]	eng	remote-sensing image	[Oblique]	1 remote-sensing image ; 21 x 26 cm.	Shows Hamilton industrial area, west of Ottawa Street and south of Burlington Street, including Oliver Plow Works and Hamilton Steel Co. Source: Archives of Ontario, McCarthey Air Photos Collection, Accession No. ACC 2455 C 285-1-0-4.70, probably 1919.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.258956 ; longitude -79.81739
AirPhotos_Hamilton_1919-S5822	[City of Hamilton, 1919] : [Photo S5822]				cartographic	Aerial photographs	1919	[Publisher unknown]	[Place of publication unknown]	[1919]	eng	remote-sensing image	[Oblique]	1 remote-sensing image ; 21 x 26 cm.	Shows Hamilton industrial area, west of Ottawa Street and south of Burlington Street, including Oliver Plow Works and Hamilton Steel Co. Source: Archives of Ontario, McCarthey Air Photos Collection, Accession No. ACC 2455 C 285-1-0-4.70, probably 1919.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.248766 ; longitude -79.813313
