Identifier	Title	Subtitle	Corporate Name/Author	Personal Name/Author	Type of resource	Genre	Date	Publisher	Place of publication	Date Other	Language	Form	Extent/Scale	Physical description note	Note	Subject(geographic)	Subject(geographic)	Subject(geographic)	Continent	Country	Province/state	Region	County	City	City section	Area	Coordinates
identifier	title	subtitle	corporateauthor	personalauthor	typeofresource	genreloc	dateCreated	publisher	publicationplace	dateOther	language	physicalform	physicalextent	physicalnote	note	subjectgeographic	subjectgeographic	subjectgeographic	continent	country	province	region	county	city	citySection	area	coordinates
AirPhotos_Hamilton_1952-3E	Hamilton-Wentworth County : [Photo 3E]		Spartan Air Services, Ltd.		cartographic	Aerial photographs	5/1/1952	[Spartan Air Services, Ltd.]	[Ottawa, Ont.]	5/1/1952	eng	remote-sensing image	[1:4,800 approximately]	1 remote-sensing image ; 61 x 73 cm on sheet 71 x 82 cm. Dry mounted on masonite.	Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.191661 ; longitude -79.899101
AirPhotos_Hamilton_1952-4E	Hamilton-Wentworth County : [Photo 4E]		Spartan Air Services, Ltd.		cartographic	Aerial photographs	5/1/1952	[Spartan Air Services, Ltd.]	[Ottawa, Ont.]	5/1/1952	eng	remote-sensing image	[1:4,800 approximately]	1 remote-sensing image ; 61 x 73 cm on sheet 71 x 82 cm. Dry mounted on masonite.	Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.183025 ; longitude -79.865112
AirPhotos_Hamilton_1952-5E	Hamilton-Wentworth County : [Photo 5E]		Spartan Air Services, Ltd.		cartographic	Aerial photographs	5/1/1952	[Spartan Air Services, Ltd.]	[Ottawa, Ont.]	5/1/1952	eng	remote-sensing image	[1:4,800 approximately]	1 remote-sensing image ; 61 x 73 cm on sheet 71 x 82 cm. Dry mounted on masonite.	Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.176891 ; longitude -79.837818
AirPhotos_Hamilton_1952-6C	Hamilton-Wentworth County : [Photo 6C]		Spartan Air Services, Ltd.		cartographic	Aerial photographs	5/1/1952	[Spartan Air Services, Ltd.]	[Ottawa, Ont.]	5/1/1952	eng	remote-sensing image	[1:4,800 approximately]	1 remote-sensing image ; 61 x 73 cm on sheet 71 x 82 cm. Dry mounted on masonite.	Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.201672 ; longitude -79.765377
AirPhotos_Hamilton_1952-6D	Hamilton-Wentworth County : [Photo 6D]		Spartan Air Services, Ltd.		cartographic	Aerial photographs	5/1/1952	[Spartan Air Services, Ltd.]	[Ottawa, Ont.]	5/1/1952	eng	remote-sensing image	[1:4,800 approximately]	1 remote-sensing image ; 61 x 73 cm on sheet 71 x 82 cm. Dry mounted on masonite.	Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.181397 ; longitude -79.773445
AirPhotos_Hamilton_1952-7A	Hamilton-Wentworth County : [Photo 7A]		Spartan Air Services, Ltd.		cartographic	Aerial photographs	5/1/1952	[Spartan Air Services, Ltd.]	[Ottawa, Ont.]	5/1/1952	eng	remote-sensing image	[1:4,800 approximately]	1 remote-sensing image ; 61 x 73 cm on sheet 71 x 82 cm. Dry mounted on masonite.	Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.232322 ; longitude -79.7089
AirPhotos_Hamilton_1952-7B	Hamilton-Wentworth County : [Photo 7B]		Spartan Air Services, Ltd.		cartographic	Aerial photographs	5/1/1952	[Spartan Air Services, Ltd.]	[Ottawa, Ont.]	5/1/1952	eng	remote-sensing image	[1:4,800 approximately]	1 remote-sensing image ; 61 x 73 cm on sheet 71 x 82 cm. Dry mounted on masonite.	Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.216686 ; longitude -79.71611
AirPhotos_Hamilton_1952-7C	Hamilton-Wentworth County : [Photo 7C]		Spartan Air Services, Ltd.		cartographic	Aerial photographs	5/1/1952	[Spartan Air Services, Ltd.]	[Ottawa, Ont.]	5/1/1952	eng	remote-sensing image	[1:4,800 approximately]	1 remote-sensing image ; 61 x 73 cm on sheet 71 x 82 cm. Dry mounted on masonite.	Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.201047 ; longitude -79.723148
AirPhotos_Hamilton_1952-7D	Hamilton-Wentworth County : [Photo 7D]		Spartan Air Services, Ltd.		cartographic	Aerial photographs	5/1/1952	[Spartan Air Services, Ltd.]	[Ottawa, Ont.]	5/1/1952	eng	remote-sensing image	[1:4,800 approximately]	1 remote-sensing image ; 61 x 73 cm on sheet 71 x 82 cm. Dry mounted on masonite.	Shows parts of Dundas, Ancaster, Stoney Creek, and Hamilton mountain only. Source: Spartan Air Services, Ltd.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.187405 ; longitude -79.729843
