Identifier	Title	Subtitle	Corporate Name/Author	Personal Name/Author	Type of resource	Genre	Date	Publisher	Place of publication	Date Other	Language	Form	Extent/Scale	Physical description note	Note	Subject(geographic)	Subject(geographic)	Subject(geographic)	Continent	Country	Province/state	Region	County	City	City section	Area	Coordinates
identifier	title	subtitle	corporateauthor	personalauthor	typeofresource	genreloc	dateCreated	publisher	publicationplace	dateOther	language	physicalform	physicalextent	physicalnote	note	subjectgeographic	subjectgeographic	subjectgeographic	continent	country	province	region	county	city	citySection	area	coordinates
AirPhotos_Hamilton_1959-1962_A16883-1	[Golden Horseshoe Area, 11/9/1959] : [Flightline A16883-Photo 1]		Spartan Air Services Ltd.		cartographic	Aerial photographs	11/9/1959	[Spartan Air Services Ltd.]	[Ottawa, Ont.]	11/9/1959	eng	remote-sensing image	[1:30,000 approximately]	1 remote-sensing image ; 23 x 23 cm. Some surface damage (pen markings)	Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.	Golden Horseshoe (Ont.)			North America	Canada	Ontario	Niagara, Halton	Wentworth	Brantford, Guelph, Mississauga, Hamilton, Oakville, Milton, Burlington	Rockton		latitude 43.321057 ; longitude -80.015488
AirPhotos_Hamilton_1959-1962_A16883-2	[Golden Horseshoe Area, 11/9/1959] : [Flightline A16883-Photo 2]		Spartan Air Services Ltd.		cartographic	Aerial photographs	11/9/1959	[Spartan Air Services Ltd.]	[Ottawa, Ont.]	11/9/1959	eng	remote-sensing image	[1:30,000 approximately]	1 remote-sensing image ; 23 x 23 cm. Some surface damage (pen markings)	Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.	Golden Horseshoe (Ont.)			North America	Canada	Ontario	Niagara, Halton	Wentworth	Brantford, Guelph, Mississauga, Hamilton, Oakville, Milton, Burlington	Rockton		latitude 43.321057 ; longitude -79.983387
AirPhotos_Hamilton_1959-1962_A16883-3	[Golden Horseshoe Area, 11/9/1959] : [Flightline A16883-Photo 3]		Spartan Air Services Ltd.		cartographic	Aerial photographs	11/9/1959	[Spartan Air Services Ltd.]	[Ottawa, Ont.]	11/9/1959	eng	remote-sensing image	[1:30,000 approximately]	1 remote-sensing image ; 23 x 23 cm. Some surface damage (pen markings)	Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.	Golden Horseshoe (Ont.)			North America	Canada	Ontario	Niagara, Halton	Wentworth	Brantford, Guelph, Mississauga, Hamilton, Oakville, Milton, Burlington	Rockton		latitude 43.320932 ; longitude -79.950256
AirPhotos_Hamilton_1959-1962_A16883-4	[Golden Horseshoe Area, 11/9/1959] : [Flightline A16883-Photo 4]		Spartan Air Services Ltd.		cartographic	Aerial photographs	11/9/1959	[Spartan Air Services Ltd.]	[Ottawa, Ont.]	11/9/1959	eng	remote-sensing image	[1:30,000 approximately]	1 remote-sensing image ; 23 x 23 cm. Some surface damage (pen markings)	Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.	Golden Horseshoe (Ont.)			North America	Canada	Ontario	Niagara, Halton	Wentworth	Brantford, Guelph, Mississauga, Hamilton, Oakville, Milton, Burlington	Rockton		latitude 43.320807 ; longitude -79.922104
AirPhotos_Hamilton_1959-1962_A16883-5	[Golden Horseshoe Area, 11/9/1959] : [Flightline A16883-Photo 5]		Spartan Air Services Ltd.		cartographic	Aerial photographs	11/9/1959	[Spartan Air Services Ltd.]	[Ottawa, Ont.]	11/9/1959	eng	remote-sensing image	[1:30,000 approximately]	1 remote-sensing image ; 23 x 23 cm. Some surface damage (pen markings)	Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.	Golden Horseshoe (Ont.)			North America	Canada	Ontario	Niagara, Halton	Wentworth	Brantford, Guelph, Mississauga, Hamilton, Oakville, Milton, Burlington	Rockton		latitude 43.320557 ; longitude -79.890862
AirPhotos_Hamilton_1959-1962_A16883-6	[Golden Horseshoe Area, 11/9/1959] : [Flightline A16883-Photo 6]		Spartan Air Services Ltd.		cartographic	Aerial photographs	11/9/1959	[Spartan Air Services Ltd.]	[Ottawa, Ont.]	11/9/1959	eng	remote-sensing image	[1:30,000 approximately]	1 remote-sensing image ; 23 x 23 cm. Some surface damage (pen markings)	Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.	Golden Horseshoe (Ont.)			North America	Canada	Ontario	Niagara, Halton	Wentworth	Brantford, Guelph, Mississauga, Hamilton, Oakville, Milton, Burlington	Rockton		latitude 43.320432 ; longitude -79.864082
AirPhotos_Hamilton_1959-1962_A16883-7	[Golden Horseshoe Area, 11/9/1959] : [Flightline A16883-Photo 7]		Spartan Air Services Ltd.		cartographic	Aerial photographs	11/9/1959	[Spartan Air Services Ltd.]	[Ottawa, Ont.]	11/9/1959	eng	remote-sensing image	[1:30,000 approximately]	1 remote-sensing image ; 23 x 23 cm. Some surface damage (pen markings)	Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.	Golden Horseshoe (Ont.)			North America	Canada	Ontario	Niagara, Halton	Wentworth	Brantford, Guelph, Mississauga, Hamilton, Oakville, Milton, Burlington	Rockton		latitude 43.321306 ; longitude -79.835243
AirPhotos_Hamilton_1959-1962_A16883-8	[Golden Horseshoe Area, 11/9/1959] : [Flightline A16883-Photo 8]		Spartan Air Services Ltd.		cartographic	Aerial photographs	11/9/1959	[Spartan Air Services Ltd.]	[Ottawa, Ont.]	11/9/1959	eng	remote-sensing image	[1:30,000 approximately]	1 remote-sensing image ; 23 x 23 cm. Some surface damage (pen markings)	Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.	Golden Horseshoe (Ont.)			North America	Canada	Ontario	Niagara, Halton	Wentworth	Brantford, Guelph, Mississauga, Hamilton, Oakville, Milton, Burlington	Rockton		latitude 43.321181 ; longitude -79.802113
AirPhotos_Hamilton_1959-1962_A16883-9	[Golden Horseshoe Area, 11/9/1959] : [Flightline A16883-Photo 9]		Spartan Air Services Ltd.		cartographic	Aerial photographs	11/9/1959	[Spartan Air Services Ltd.]	[Ottawa, Ont.]	11/9/1959	eng	remote-sensing image	[1:30,000 approximately]	1 remote-sensing image ; 23 x 23 cm. Some surface damage (pen markings)	Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.	Golden Horseshoe (Ont.)			North America	Canada	Ontario	Niagara, Halton	Wentworth	Brantford, Guelph, Mississauga, Hamilton, Oakville, Milton, Burlington	Rockton		latitude 43.321306 ; longitude -79.769669
