Identifier	Title	Subtitle	Corporate Name/Author	Personal Name/Author	Type of resource	Genre	Date	Publisher	Place of publication	Date Other	Language	Form	Extent/Scale	Physical description note	Note	Subject(geographic)	Subject(geographic)	Subject(geographic)	Continent	Country	Province/state	Region	County	City	City section	Area	Coordinates
identifier	title	subtitle	corporateauthor	personalauthor	typeofresource	genreloc	dateCreated	publisher	publicationplace	dateOther	language	physicalform	physicalextent	physicalnote	note	subjectgeographic	subjectgeographic	subjectgeographic	continent	country	province	region	county	city	citySection	area	coordinates
AirPhotos_HamiltonSW_1967_675-76	[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 675-Photo 76]				cartographic	Aerial photographs	1967	[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]	[Toronto, Ont.]	1967	eng	remote-sensing image	[1:13,000 approximately]	1 remote-sensing image ; 19 x 24 cm. Some surface damage (coloured pens). Some shots partially obscured by cloud shadow.	Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. On photo: Eastman Topographic Safety. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.276455 ; longitude -79.778252
AirPhotos_HamiltonSW_1967_675-78	[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 675-Photo 78]				cartographic	Aerial photographs	1967	[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]	[Toronto, Ont.]	1967	eng	remote-sensing image	[1:13,000 approximately]	1 remote-sensing image ; 19 x 24 cm. Some surface damage (coloured pens). Some shots partially obscured by cloud shadow.	Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. On photo: Eastman Topographic Safety. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.288952 ; longitude -79.782543
AirPhotos_HamiltonSW_1967_675-80	[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 675-Photo 80]				cartographic	Aerial photographs	1967	[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]	[Toronto, Ont.]	1967	eng	remote-sensing image	[1:13,000 approximately]	1 remote-sensing image ; 19 x 24 cm. Some surface damage (coloured pens). Some shots partially obscured by cloud shadow.	Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. On photo: Eastman Topographic Safety. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.304319 ; longitude -79.794044
AirPhotos_HamiltonSW_1967_675-82	[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 675-Photo 82]				cartographic	Aerial photographs	1967	[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]	[Toronto, Ont.]	1967	eng	remote-sensing image	[1:13,000 approximately]	1 remote-sensing image ; 19 x 24 cm. Some surface damage (coloured pens). Some shots partially obscured by cloud shadow.	Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. On photo: Eastman Topographic Safety. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.313813 ; longitude -79.803658
AirPhotos_HamiltonSW_1967_674-53-5	[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-53-Photo 5]				cartographic	Aerial photographs	1967	[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]	[Toronto, Ont.]	1967	eng	remote-sensing image	[1:12,000 approximately]	1 remote-sensing image ; 23 x 23 cm. Some surface damage (coloured pens). Some shots partially obscured by cloud shadow.	Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.197543 ; longitude -79.99815
AirPhotos_HamiltonSW_1967_674-53-6	[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-53-Photo 6]				cartographic	Aerial photographs	1967	[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]	[Toronto, Ont.]	1967	eng	remote-sensing image	[1:12,000 approximately]	1 remote-sensing image ; 23 x 23 cm. Some surface damage (coloured pens). Some shots partially obscured by cloud shadow.	Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.199795 ; longitude -79.984932
AirPhotos_HamiltonSW_1967_674-53-7	[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-53-Photo 7]				cartographic	Aerial photographs	1967	[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]	[Toronto, Ont.]	1967	eng	remote-sensing image	[1:12,000 approximately]	1 remote-sensing image ; 23 x 23 cm. Some surface damage (coloured pens). Some shots partially obscured by cloud shadow.	Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.202235 ; longitude -79.972057
AirPhotos_HamiltonSW_1967_674-53-8	[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-53-Photo 8]				cartographic	Aerial photographs	1967	[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]	[Toronto, Ont.]	1967	eng	remote-sensing image	[1:12,000 approximately]	1 remote-sensing image ; 23 x 23 cm. Some surface damage (coloured pens). Some shots partially obscured by cloud shadow.	Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.204237 ; longitude -79.958582
AirPhotos_HamiltonSW_1967_674-53-9	[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-53-Photo 9]				cartographic	Aerial photographs	1967	[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]	[Toronto, Ont.]	1967	eng	remote-sensing image	[1:12,000 approximately]	1 remote-sensing image ; 23 x 23 cm. Some surface damage (coloured pens). Some shots partially obscured by cloud shadow.	Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			latitude 43.206302 ; longitude -79.945879
