Identifier	Title	Subtitle	Corporate Name/Author	Personal Name/Author	Type of resource	Genre	Date	Publisher	Place of publication	Date Other	Language	Form	Extent/Scale	Physical description note	Note	Subject(geographic)	Subject(geographic)	Subject(geographic)	Continent	Country	Province/state	Region	County	City	City section	Area	Coordinates
identifier	title	subtitle	corporateauthor	personalauthor	typeofresource	genreloc	dateCreated	publisher	publicationplace	dateOther	language	physicalform	physicalextent	physicalnote	note	subjectgeographic	subjectgeographic	subjectgeographic	continent	country	province	region	county	city	citySection	area	coordinates
AirPhotos_OntarioS_1964_A18270-1	[Southern Ontario, 4/12/1964] : [Flightline A18270-Photo 1]		National Air Photo Library (Canada)		cartographic	Aerial photographs	4/12/1964	[Publisher unknown]	[Place of publication unknown]	4/12/1964	eng	remote-sensing image	[1:16,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows part of Wellington and Halton Counties, northeast of Guelph, south of Erin; parts of Oxford County, northeast of Tillsonburg; and parts of the Regional Municipality of Haldimand-Norfolk and Brant County. Source: National Air Photo Library [Southern Ontario].	Hamilton (Ont.)			North America	Canada	Ontario						latitude 43.61607 ; longitude -79.97695
AirPhotos_OntarioS_1964_A18270-2	[Southern Ontario, 4/12/1964] : [Flightline A18270-Photo 2]		National Air Photo Library (Canada)		cartographic	Aerial photographs	4/12/1964	[Publisher unknown]	[Place of publication unknown]	4/12/1964	eng	remote-sensing image	[1:16,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows part of Wellington and Halton Counties, northeast of Guelph, south of Erin, Part of Brant County and the Regional Municipality of Hamilton-Wentworth: east of Brantford, south of Lynden, Part of Oxford County: northeast of Tillsonburg, parts of the Regional Municipality of Haldimand-Norfolk.Source: National Air Photo Library [Southern Ontario].	Hamilton (Ont.)			North America	Canada	Ontario						latitude 43.616567 ; longitude -79.996777
AirPhotos_OntarioS_1964_A18270-3	[Southern Ontario, 4/12/1964] : [Flightline A18270-Photo 3]		National Air Photo Library (Canada)		cartographic	Aerial photographs	4/12/1964	[Publisher unknown]	[Place of publication unknown]	4/12/1964	eng	remote-sensing image	[1:16,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows part of Wellington and Halton Counties, northeast of Guelph, south of Erin, Part of Brant County and the Regional Municipality of Hamilton-Wentworth: east of Brantford, south of Lynden, Part of Oxford County: northeast of Tillsonburg, parts of the Regional Municipality of Haldimand-Norfolk.Source: National Air Photo Library [Southern Ontario].	Hamilton (Ont.)			North America	Canada	Ontario						latitude 43.616007 ; longitude -80.012655
AirPhotos_OntarioS_1964_A18270-118	[Southern Ontario, 4/12/1964] : [Flightline A18270-Photo 118]		National Air Photo Library (Canada)		cartographic	Aerial photographs	4/12/1964	[Publisher unknown]	[Place of publication unknown]	4/12/1964	eng	remote-sensing image	[1:16,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows part of Wellington and Halton Counties, northeast of Guelph, south of Erin, Part of Brant County and the Regional Municipality of Hamilton-Wentworth: east of Brantford, south of Lynden, Part of Oxford County: northeast of Tillsonburg, parts of the Regional Municipality of Haldimand-Norfolk.Source: National Air Photo Library [Southern Ontario].	Hamilton (Ont.)			North America	Canada	Ontario						latitude 43.591768 ; longitude -80.036602
AirPhotos_OntarioS_1964_A18270-119	[Southern Ontario, 4/12/1964] : [Flightline A18270-Photo 119]		National Air Photo Library (Canada)		cartographic	Aerial photographs	4/12/1964	[Publisher unknown]	[Place of publication unknown]	4/12/1964	eng	remote-sensing image	[1:16,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows part of Wellington and Halton Counties, northeast of Guelph, south of Erin, Part of Brant County and the Regional Municipality of Hamilton-Wentworth: east of Brantford, south of Lynden, Part of Oxford County: northeast of Tillsonburg, parts of the Regional Municipality of Haldimand-Norfolk.Source: National Air Photo Library [Southern Ontario].	Hamilton (Ont.)			North America	Canada	Ontario						latitude 43.592514 ; longitude -80.018921
AirPhotos_OntarioS_1964_A18270-120	[Southern Ontario, 4/12/1964] : [Flightline A18270-Photo 120]		National Air Photo Library (Canada)		cartographic	Aerial photographs	4/12/1964	[Publisher unknown]	[Place of publication unknown]	4/12/1964	eng	remote-sensing image	[1:16,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows part of Wellington and Halton Counties, northeast of Guelph, south of Erin, Part of Brant County and the Regional Municipality of Hamilton-Wentworth: east of Brantford, south of Lynden, Part of Oxford County: northeast of Tillsonburg, parts of the Regional Municipality of Haldimand-Norfolk.Source: National Air Photo Library [Southern Ontario].	Hamilton (Ont.)			North America	Canada	Ontario						latitude 43.59326 ; longitude -80.001068
AirPhotos_OntarioS_1964_A18270-121	[Southern Ontario, 4/12/1964] : [Flightline A18270-Photo 121]		National Air Photo Library (Canada)		cartographic	Aerial photographs	4/12/1964	[Publisher unknown]	[Place of publication unknown]	4/12/1964	eng	remote-sensing image	[1:16,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows part of Wellington and Halton Counties, northeast of Guelph, south of Erin, Part of Brant County and the Regional Municipality of Hamilton-Wentworth: east of Brantford, south of Lynden, Part of Oxford County: northeast of Tillsonburg, parts of the Regional Municipality of Haldimand-Norfolk.Source: National Air Photo Library [Southern Ontario].	Hamilton (Ont.)			North America	Canada	Ontario						latitude 43.594068 ; longitude -79.983215
AirPhotos_OntarioS_1964_A18271-34	[Southern Ontario, 4/11/1964] : [Flightline A18271-Photo 34]		National Air Photo Library (Canada)		cartographic	Aerial photographs	4/11/1964	[Publisher unknown]	[Place of publication unknown]	4/11/1964	eng	remote-sensing image	[1:16,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows part of Wellington and Halton Counties, northeast of Guelph, south of Erin, Part of Brant County and the Regional Municipality of Hamilton-Wentworth: east of Brantford, south of Lynden, Part of Oxford County: northeast of Tillsonburg, parts of the Regional Municipality of Haldimand-Norfolk.Source: National Air Photo Library [Southern Ontario].	Hamilton (Ont.)			North America	Canada	Ontario						latitude 42.797101 ; longitude -80.085011
AirPhotos_OntarioS_1964_A18271-35	[Southern Ontario, 4/11/1964] : [Flightline A18271-Photo 35]		National Air Photo Library (Canada)		cartographic	Aerial photographs	4/11/1964	[Publisher unknown]	[Place of publication unknown]	4/11/1964	eng	remote-sensing image	[1:16,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows part of Wellington and Halton Counties, northeast of Guelph, south of Erin, Part of Brant County and the Regional Municipality of Hamilton-Wentworth: east of Brantford, south of Lynden, Part of Oxford County: northeast of Tillsonburg, parts of the Regional Municipality of Haldimand-Norfolk.Source: National Air Photo Library [Southern Ontario].	Hamilton (Ont.)			North America	Canada	Ontario						latitude 42.797605 ; longitude -80.101147
