Identifier	Title	Subtitle	Corporate Name/Author	Personal Name/Author	Type of resource	Genre	Date	Publisher	Place of publication	Date Other	Language	Form	Extent/Scale	Physical description note	Note	Subject(geographic)	Subject(geographic)	Subject(geographic)	Continent	Country	Province/state	Region	County	City	City section	Area	Coordinates
identifier	title	subtitle	corporateauthor	personalauthor	typeofresource	genreloc	dateCreated	publisher	publicationplace	dateOther	language	physicalform	physicalextent	physicalnote	note	subjectgeographic	subjectgeographic	subjectgeographic	continent	country	province	region	county	city	citySection	area	coordinates
AirPhotos_Waterloo_1966_A19411-33	[Kitchener - Brantford Area, 1966] : [Flightline A19411-Photo 33]		Capital Air Surveys Ltd.		cartographic	Aerial photographs	1966	[Publisher unknown]	[Place of publication unknown]	1966	eng	remote-sensing image	[1:40,000 approximately]	1 remote-sensing image ; 25 x 25 cm.	Stereoscopic coverage (some gaps). Shows east of Waterloo, including part of Puslinch Township. South from Waterloo to Brantford. Includes part of East and West Flamborough. Source: Capital Air Surveys, [Kitchener - Brantford Area], Job 66-10, April 22, 1966.	Kitchener (Ont.)	Brantford (Ont.)		North America	Canada	Ontario			Kitchener, Brantford, Cambridge			latitude 43.452171 ; longitude -80.423698
AirPhotos_Waterloo_1966_A19411-34	[Kitchener - Brantford Area, 1966] : [Flightline A19411-Photo 34]		Capital Air Surveys Ltd.		cartographic	Aerial photographs	1966	[Publisher unknown]	[Place of publication unknown]	1966	eng	remote-sensing image	[1:40,000 approximately]	1 remote-sensing image ; 25 x 25 cm.	Stereoscopic coverage (some gaps). Shows east of Waterloo, including part of Puslinch Township. South from Waterloo to Brantford. Includes part of East and West Flamborough. Source: Capital Air Surveys, [Kitchener - Brantford Area], Job 66-10, April 22, 1966.	Kitchener (Ont.)	Brantford (Ont.)		North America	Canada	Ontario			Kitchener, Brantford, Cambridge			latitude 43.453542 ; longitude -80.379066
AirPhotos_Waterloo_1966_A19411-35	[Kitchener - Brantford Area, 1966] : [Flightline A19411-Photo 35]		Capital Air Surveys Ltd.		cartographic	Aerial photographs	1966	[Publisher unknown]	[Place of publication unknown]	1966	eng	remote-sensing image	[1:40,000 approximately]	1 remote-sensing image ; 25 x 25 cm.	Stereoscopic coverage (some gaps). Shows east of Waterloo, including part of Puslinch Township. South from Waterloo to Brantford. Includes part of East and West Flamborough. Source: Capital Air Surveys, [Kitchener - Brantford Area], Job 66-10, April 22, 1966.	Kitchener (Ont.)	Brantford (Ont.)		North America	Canada	Ontario			Kitchener, Brantford, Cambridge			latitude 43.454913 ; longitude -80.335464
AirPhotos_Waterloo_1966_A19411-36	[Kitchener - Brantford Area, 1966] : [Flightline A19411-Photo 36]		Capital Air Surveys Ltd.		cartographic	Aerial photographs	1966	[Publisher unknown]	[Place of publication unknown]	1966	eng	remote-sensing image	[1:40,000 approximately]	1 remote-sensing image ; 25 x 25 cm.	Stereoscopic coverage (some gaps). Shows east of Waterloo, including part of Puslinch Township. South from Waterloo to Brantford. Includes part of East and West Flamborough. Source: Capital Air Surveys, [Kitchener - Brantford Area], Job 66-10, April 22, 1966.	Kitchener (Ont.)	Brantford (Ont.)		North America	Canada	Ontario			Kitchener, Brantford, Cambridge			latitude 43.456283 ; longitude -80.291176
AirPhotos_Waterloo_1966_A19411-37	[Kitchener - Brantford Area, 1966] : [Flightline A19411-Photo 37]		Capital Air Surveys Ltd.		cartographic	Aerial photographs	1966	[Publisher unknown]	[Place of publication unknown]	1966	eng	remote-sensing image	[1:40,000 approximately]	1 remote-sensing image ; 25 x 25 cm.	Stereoscopic coverage (some gaps). Shows east of Waterloo, including part of Puslinch Township. South from Waterloo to Brantford. Includes part of East and West Flamborough. Source: Capital Air Surveys, [Kitchener - Brantford Area], Job 66-10, April 22, 1966.	Kitchener (Ont.)	Brantford (Ont.)		North America	Canada	Ontario			Kitchener, Brantford, Cambridge			latitude 43.457654 ; longitude -80.246372
AirPhotos_Waterloo_1966_A19411-38	[Kitchener - Brantford Area, 1966] : [Flightline A19411-Photo 38]		Capital Air Surveys Ltd.		cartographic	Aerial photographs	1966	[Publisher unknown]	[Place of publication unknown]	1966	eng	remote-sensing image	[1:40,000 approximately]	1 remote-sensing image ; 25 x 25 cm.	Stereoscopic coverage (some gaps). Shows east of Waterloo, including part of Puslinch Township. South from Waterloo to Brantford. Includes part of East and West Flamborough. Source: Capital Air Surveys, [Kitchener - Brantford Area], Job 66-10, April 22, 1966.	Kitchener (Ont.)	Brantford (Ont.)		North America	Canada	Ontario			Kitchener, Brantford, Cambridge			latitude 43.459274 ; longitude -80.201397
AirPhotos_Waterloo_1966_A19411-39	[Kitchener - Brantford Area, 1966] : [Flightline A19411-Photo 39]		Capital Air Surveys Ltd.		cartographic	Aerial photographs	1966	[Publisher unknown]	[Place of publication unknown]	1966	eng	remote-sensing image	[1:40,000 approximately]	1 remote-sensing image ; 25 x 25 cm.	Stereoscopic coverage (some gaps). Shows east of Waterloo, including part of Puslinch Township. South from Waterloo to Brantford. Includes part of East and West Flamborough. Source: Capital Air Surveys, [Kitchener - Brantford Area], Job 66-10, April 22, 1966.	Kitchener (Ont.)	Brantford (Ont.)		North America	Canada	Ontario			Kitchener, Brantford, Cambridge			latitude 43.460645 ; longitude -80.156593
AirPhotos_Waterloo_1966_A19411-40	[Kitchener - Brantford Area, 1966] : [Flightline A19411-Photo 40]		Capital Air Surveys Ltd.		cartographic	Aerial photographs	1966	[Publisher unknown]	[Place of publication unknown]	1966	eng	remote-sensing image	[1:40,000 approximately]	1 remote-sensing image ; 25 x 25 cm.	Stereoscopic coverage (some gaps). Shows east of Waterloo, including part of Puslinch Township. South from Waterloo to Brantford. Includes part of East and West Flamborough. Source: Capital Air Surveys, [Kitchener - Brantford Area], Job 66-10, April 22, 1966.	Kitchener (Ont.)	Brantford (Ont.)		North America	Canada	Ontario			Kitchener, Brantford, Cambridge			latitude 43.461766 ; longitude -80.110931
AirPhotos_Waterloo_1966_A19411-45	[Kitchener - Brantford Area, 1966] : [Flightline A19411-Photo 45]		Capital Air Surveys Ltd.		cartographic	Aerial photographs	1966	[Publisher unknown]	[Place of publication unknown]	1966	eng	remote-sensing image	[1:40,000 approximately]	1 remote-sensing image ; 25 x 25 cm.	Stereoscopic coverage (some gaps). Shows east of Waterloo, including part of Puslinch Township. South from Waterloo to Brantford. Includes part of East and West Flamborough. Source: Capital Air Surveys, [Kitchener - Brantford Area], Job 66-10, April 22, 1966.	Kitchener (Ont.)	Brantford (Ont.)		North America	Canada	Ontario			Kitchener, Brantford, Cambridge			latitude 43.408041 ; longitude -79.95369
